Account,Symbol,OptionType,Strike,Expiry,OpenDate,CloseDate,DaysHeld,OpenPrice,ClosePrice,Premium,BuyToCost,Fees,GrossP&L,NetP&L,OpenQty,CloseQty,Month,Regime,Conviction,PositionType,Result
Account A,AMZN,P,2026-07-17,190.0,2026-02-10,2026-03-23,41,10.65,7.8,2128.67,1561.32,2.6500000000000004,567.3500000000001,564.7000000000002,2,2,2026-02,EARLY_BULL,High,Put,Win
Account A,AMZN,P,2026-11-20,210.0,2026-01-27,2026-04-24,87,14.65,8.66,1464.34,866.66,1.32,597.68,596.3599999999999,1,1,2026-01,EARLY_BULL,High,Put,Win
Account A,AMZN,P,2027-06-17,210.0,2026-04-28,2026-05-11,13,14.55,11.42,1454.31,1142.66,1.35,311.64999999999986,310.29999999999984,1,1,2026-04,CAUTIOUS_BULL,High,Put,Win
Account A,AMZN,P,2026-07-17,215.0,2026-01-29,2026-04-14,75,10.35,5.5,1034.34,550.66,1.32,483.67999999999995,482.35999999999996,1,1,2026-01,EARLY_BULL,High,Put,Win
Account A,AMZN,C,2026-08-21,240.0,2026-03-19,2026-04-29,41,9.6,37.0,959.34,3700.66,1.32,-2741.3199999999997,-2742.64,1,1,2026-03,EARLY_BULL,High,Call,Loss
Account A,AMZN,P,2027-03-19,240.0,2026-05-05,2026-05-11,6,16.85,16.85,1684.31,1685.66,1.35,-1.3500000000001364,-2.7000000000001365,1,1,2026-05,CAUTIOUS_BULL,High,Put,Breakeven
Account A,AMZN,P,2026-08-21,245.0,2026-04-14,2026-04-24,10,18.85,14.2,1884.3,1420.66,1.3599999999999999,463.6399999999999,462.27999999999986,1,1,2026-04,CAUTIOUS_BULL,High,Put,Win
Account A,AMZN,P,2026-12-18,250.0,2026-04-14,2026-04-29,15,27.9,20.58,2789.28,2058.66,1.38,730.6200000000003,729.2400000000004,1,1,2026-04,CAUTIOUS_BULL,High,Put,Win
Account A,AMZN,P,2026-07-17,255.0,2026-04-27,2026-05-01,4,13.02,7.6,1301.31,760.66,1.35,540.65,539.3,1,1,2026-04,CAUTIOUS_BULL,High,Put,Win
Account A,AMZN,C,2026-12-18,255.0,2026-03-19,2026-04-30,42,11.85,34.1,1184.34,3410.66,1.32,-2226.3199999999997,-2227.64,1,1,2026-03,EARLY_BULL,High,Call,Loss
Account A,AMZN,C,2026-06-18,260.0,2026-03-09,2026-03-19,10,3.05,1.85,304.34,185.66,1.32,118.67999999999998,117.35999999999999,1,1,2026-03,EARLY_BULL,High,Call,Breakeven
Account A,AMZN,C,2026-09-18,275.0,2026-03-04,2026-03-19,15,6.54,3.9,653.34,390.66,1.32,262.68,261.36,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,ANET,P,2026-08-21,95.0,2026-03-02,2026-03-23,21,5.15,4.48,514.34,448.66,1.32,65.68,64.36000000000001,1,1,2026-03,EARLY_BULL,High,Put,Breakeven
Account A,ANET,P,2026-06-18,100.0,2026-03-09,2026-03-10,1,4.08,3.0,407.34,300.66,1.32,106.67999999999995,105.35999999999996,1,1,2026-03,EARLY_BULL,High,Put,Breakeven
Account A,ANET,P,2026-09-18,110.0,2026-01-26,2026-04-15,79,7.65,5.02,764.34,502.66,1.32,261.68,260.36,1,1,2026-01,EARLY_BULL,High,Put,Win
Account A,ANET,P,2026-07-17,120.0,2026-01-29,2026-04-08,69,7.17,6.15,716.34,615.66,1.32,100.68000000000006,99.36000000000007,1,1,2026-01,EARLY_BULL,High,Put,Breakeven
Account A,ANET,P,2027-03-19,120.0,2026-04-16,2026-05-05,19,13.26,11.95,1325.31,1195.66,1.35,129.64999999999986,128.29999999999987,1,1,2026-04,CAUTIOUS_BULL,High,Put,Breakeven
Account A,ANET,P,2026-12-18,125.0,2026-04-16,2026-04-24,8,11.78,9.35,1177.32,935.66,1.34,241.65999999999997,240.31999999999996,1,1,2026-04,CAUTIOUS_BULL,High,Put,Win
Account A,ANET,P,2026-12-18,145.0,2026-04-20,2026-06-02,43,16.91,14.92,1690.31,1492.66,1.35,197.64999999999986,196.29999999999987,1,1,2026-04,CAUTIOUS_BULL,High,Put,Breakeven
Account A,ANET,C,2026-06-18,175.0,2026-03-09,2026-03-20,11,4.65,3.0,464.34,300.66,1.32,163.67999999999995,162.35999999999996,1,1,2026-03,EARLY_BULL,High,Call,Breakeven
Account A,ANET,C,2026-08-21,190.0,2026-03-04,2026-03-30,26,4.86,2.49,485.34,249.66,1.32,235.67999999999998,234.35999999999999,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,ANET,C,2026-12-18,190.0,2026-02-27,2026-05-04,66,7.35,26.31,734.34,5263.32,1.98,-4528.98,-4530.959999999999,1,2,2026-02,EARLY_BULL,High,Call,Loss
Account A,ANET,C,2026-12-18,190.0,2026-03-02,2026-05-04,63,8.4,26.31,839.34,5263.32,1.98,-4423.98,-4425.959999999999,1,2,2026-03,EARLY_BULL,High,Call,Loss
Account A,ANET,C,2027-03-19,230.0,2026-05-04,2026-05-06,2,20.82,12.04,2081.3,1204.66,1.3599999999999999,876.6400000000001,875.2800000000001,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,APH,P,2026-08-21,95.0,2026-04-06,2026-04-13,7,4.57,2.75,456.34,275.66,1.32,180.67999999999995,179.35999999999996,1,1,2026-04,CAUTIOUS_BULL,Medium,Put,Breakeven
Account A,APH,P,2026-11-20,110.0,2026-02-26,2026-04-29,62,7.57,6.14,756.34,614.66,1.32,141.68000000000006,140.36000000000007,1,1,2026-02,EARLY_BULL,Medium,Put,Breakeven
Account A,APH,C,2027-03-19,220.0,2026-05-04,2026-05-08,4,6.67,6.3,666.33,630.66,1.33,35.67000000000007,34.340000000000074,1,1,2026-05,CAUTIOUS_BULL,Medium,Call,Breakeven
Account A,APP,P,2026-05-15,350.0,2026-02-20,2026-03-05,13,30.33,16.75,3032.34,1675.66,1.32,1356.68,1355.3600000000001,1,1,2026-02,EARLY_BULL,High,Put,Win
Account A,APP,P,2026-11-20,350.0,2026-03-05,2026-05-04,60,53.61,39.44,5360.34,3944.66,1.32,1415.6800000000003,1414.3600000000004,1,1,2026-03,EARLY_BULL,High,Put,Win
Account A,APP,P,2026-07-17,370.0,2026-05-08,2026-05-21,13,12.0,8.54,1199.32,854.66,1.34,344.65999999999997,343.32,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,APP,P,2027-06-17,380.0,2026-05-04,2026-05-27,23,80.38,61.95,8037.17,6195.66,1.49,1841.5100000000002,1840.0200000000002,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,APP,P,2026-08-21,400.0,2026-05-12,2026-05-27,15,30.28,17.71,3027.28,1771.66,1.38,1255.6200000000001,1254.24,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,APP,P,2026-04-17,440.0,2026-03-09,2026-04-15,37,22.1,4.8,2209.34,480.66,1.32,1728.68,1727.3600000000001,1,1,2026-03,EARLY_BULL,High,Put,Win
Account A,APP,P,2026-12-18,440.0,2026-05-04,2026-05-27,23,83.25,57.2,8324.17,5720.66,1.49,2603.51,2602.0200000000004,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,APP,P,2026-06-18,450.0,2026-04-15,2026-05-04,19,52.4,38.07,5239.23,3807.66,1.4300000000000002,1431.5699999999997,1430.1399999999996,1,1,2026-04,CAUTIOUS_BULL,High,Put,Win
Account A,APP,P,2026-07-17,460.0,2026-04-20,2026-05-04,14,56.14,52.1,5613.22,5210.66,1.44,402.5600000000004,401.1200000000004,1,1,2026-04,CAUTIOUS_BULL,High,Put,Win
Account A,APP,C,2026-06-18,470.0,2026-04-01,2026-05-04,33,32.35,56.27,3234.34,5627.66,1.32,-2393.3199999999997,-2394.64,1,1,2026-04,CAUTIOUS_BULL,High,Call,Loss
Account A,APP,C,2026-05-15,480.0,2026-02-18,2026-03-26,36,30.04,20.4,3003.34,2040.66,1.32,962.6800000000001,961.36,1,1,2026-02,EARLY_BULL,High,Call,Win
Account A,APP,C,2026-08-21,490.0,2026-03-26,2026-05-04,39,45.92,75.79,4591.34,7579.66,1.32,-2988.3199999999997,-2989.64,1,1,2026-03,EARLY_BULL,High,Call,Loss
Account A,APP,C,2026-12-18,500.0,2026-03-26,2026-05-26,61,67.6,128.16,6759.34,12816.66,1.32,-6057.32,-6058.639999999999,1,1,2026-03,EARLY_BULL,High,Call,Loss
Account A,APP,C,2026-08-21,550.0,2026-05-04,2026-05-26,22,53.45,66.42,5344.23,6642.66,1.4300000000000002,-1298.4300000000003,-1299.8600000000004,1,1,2026-05,CAUTIOUS_BULL,High,Call,Loss
Account A,APP,C,2027-06-17,580.0,2026-04-24,2026-05-26,32,103.63,142.5,10362.13,14250.66,1.53,-3888.5300000000007,-3890.060000000001,1,1,2026-04,CAUTIOUS_BULL,High,Call,Loss
Account A,ASML,P,2026-09-18,1100.0,2026-01-05,2026-01-21,16,97.4,74.66,9739.34,7466.66,1.32,2272.6800000000003,2271.36,1,1,2026-01,EARLY_BULL,Low,Put,Win
Account A,AXON,C,2026-06-18,410.0,2026-04-10,2026-04-30,20,17.96,40.65,1795.3,4065.66,1.3599999999999999,-2270.3599999999997,-2271.72,1,1,2026-04,CAUTIOUS_BULL,High,Call,Loss
Account A,AXON,C,2026-05-22,420.0,2026-05-06,2026-05-07,1,19.3,28.3,1929.3,2830.66,1.3599999999999999,-901.3599999999999,-902.7199999999999,1,1,2026-05,CAUTIOUS_BULL,High,Call,Loss
Account A,AXON,C,2026-05-15,425.0,2026-04-29,2026-04-30,1,14.5,22.15,1449.31,2215.66,1.35,-766.3499999999999,-767.6999999999999,1,1,2026-04,CAUTIOUS_BULL,High,Call,Loss
Account A,AXON,C,2026-06-26,440.0,2026-05-08,2026-05-13,5,16.1,10.0,1609.31,1000.66,1.35,608.65,607.3,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,AXON,C,2026-06-18,470.0,2026-04-30,2026-05-05,5,19.56,11.65,1955.3,1165.66,1.3599999999999999,789.6399999999999,788.2799999999999,1,1,2026-04,CAUTIOUS_BULL,High,Call,Win
Account A,AXON,P,2026-06-18,470.0,2026-03-03,2026-06-02,91,30.3,21.0,3029.34,2100.66,1.32,928.6800000000003,927.3600000000002,1,1,2026-03,EARLY_BULL,High,Put,Win
Account A,AXON,C,2026-06-18,500.0,2026-04-07,2026-04-10,3,12.8,5.16,1279.31,516.66,1.35,762.65,761.3,1,1,2026-04,CAUTIOUS_BULL,High,Call,Win
Account A,AXON,C,2026-09-18,500.0,2026-05-01,2026-05-13,12,37.5,21.0,3749.26,2100.66,1.4,1648.6000000000004,1647.2000000000003,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,AXON,C,2026-05-15,510.0,2026-04-01,2026-04-07,6,18.49,8.05,1848.34,805.66,1.32,1042.6799999999998,1041.36,1,1,2026-04,CAUTIOUS_BULL,High,Call,Win
Account A,AXON,C,2026-06-18,560.0,2026-02-04,2026-03-30,54,27.8,15.87,2779.34,1587.66,1.32,1191.68,1190.3600000000001,1,1,2026-02,EARLY_BULL,High,Call,Win
Account A,AXON,C,2026-09-18,600.0,2026-02-20,2026-04-08,47,40.31,16.83,4030.34,1683.66,1.32,2346.6800000000003,2345.36,1,1,2026-02,EARLY_BULL,High,Call,Win
Account A,AXON,C,2026-09-18,600.0,2026-05-04,2026-05-11,7,16.58,14.5,1657.31,1450.66,1.35,206.64999999999986,205.29999999999987,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,AXON,C,2026-12-18,600.0,2026-01-30,2026-04-29,89,72.48,30.15,7247.34,3015.66,1.32,4231.68,4230.360000000001,1,1,2026-01,EARLY_BULL,High,Call,Win
Account A,AXON,C,2026-06-18,620.0,2026-03-03,2026-03-16,13,49.08,20.0,4907.34,2000.66,1.32,2906.6800000000003,2905.36,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,AXON,C,2027-01-15,620.0,2026-03-17,2026-04-29,43,68.3,30.44,6829.34,3044.66,1.32,3784.6800000000003,3783.36,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,AXON,C,2026-12-18,710.0,2026-01-09,2026-01-30,21,100.2,47.0,10019.34,4700.66,1.32,5318.68,5317.360000000001,1,1,2026-01,EARLY_BULL,High,Call,Win
Account A,BA,P,2026-05-15,200.0,2026-01-14,2026-01-22,8,3.66,2.45,365.34,245.66,1.32,119.67999999999998,118.35999999999999,1,1,2026-01,EARLY_BULL,Low,Put,Breakeven
Account A,BE,P,2027-06-17,170.0,2026-05-08,2026-05-13,5,45.37,42.56,4536.25,4256.66,1.4100000000000001,279.59000000000015,278.1800000000001,1,1,2026-05,CAUTIOUS_BULL,Medium,Put,Win
Account A,BRKB,P,2027-06-17,430.0,2026-05-11,2026-05-13,2,13.82,12.8,1381.31,1280.66,1.35,100.64999999999986,99.29999999999987,1,1,2026-05,CAUTIOUS_BULL,Medium,Put,Breakeven
Account A,BRKB,P,2026-12-18,450.0,2026-05-04,2026-05-12,8,14.7,10.8,1469.31,1080.66,1.35,388.64999999999986,387.29999999999984,1,1,2026-05,CAUTIOUS_BULL,Medium,Put,Win
Account A,COIN,P,2026-12-18,120.0,2026-02-20,2026-03-17,25,16.09,11.0,1608.34,1100.66,1.32,507.67999999999984,506.35999999999984,1,1,2026-02,EARLY_BULL,High,Put,Win
Account A,COIN,P,2026-07-17,170.0,2026-05-01,2026-05-05,4,13.3,10.06,1329.31,1006.66,1.35,322.65,321.29999999999995,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,COIN,C,2026-06-26,200.0,2026-05-27,2026-06-03,7,5.1,2.47,509.33,247.66,1.33,261.66999999999996,260.34,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,COIN,C,2026-07-17,200.0,2026-03-31,2026-05-06,36,14.12,24.15,1411.34,2415.66,1.32,-1004.3199999999999,-1005.64,1,1,2026-03,EARLY_BULL,High,Call,Loss
Account A,COIN,C,2026-06-05,230.0,2026-05-07,2026-05-08,1,5.75,2.13,574.33,213.66,1.33,360.6700000000001,359.3400000000001,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,COIN,C,2026-06-12,230.0,2026-05-08,2026-05-18,10,6.1,4.05,609.33,405.66,1.33,203.67000000000002,202.34,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,COIN,C,2026-09-18,230.0,2026-05-08,2026-06-02,25,15.1,12.84,1509.31,1284.66,1.35,224.64999999999986,223.29999999999987,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,COIN,C,2026-07-17,240.0,2026-03-11,2026-03-25,14,19.18,12.0,1917.34,1200.66,1.32,716.6799999999998,715.3599999999998,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,COIN,C,2026-09-18,240.0,2026-05-06,2026-05-27,21,18.05,10.15,1804.3,1015.66,1.3599999999999999,788.64,787.28,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,COIN,C,2027-01-15,240.0,2026-03-25,2026-06-02,69,32.22,23.15,3221.34,2315.66,1.32,905.6800000000003,904.3600000000002,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,COIN,C,2026-09-18,250.0,2026-03-02,2026-03-30,28,19.44,10.53,1943.34,1053.66,1.32,889.6799999999998,888.3599999999998,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,COIN,C,2026-12-18,250.0,2026-05-06,2026-06-01,26,27.9,19.55,2789.28,1955.66,1.38,833.6200000000001,832.2400000000001,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,COIN,C,2026-05-15,280.0,2026-03-04,2026-03-11,7,6.92,4.5,691.34,450.66,1.32,240.68,239.36,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,COIN,C,2027-01-15,300.0,2026-03-05,2026-03-25,20,28.75,18.0,2874.34,1800.66,1.32,1073.68,1072.3600000000001,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,COST,P,2027-03-19,740.0,2026-06-02,2026-06-05,3,12.94,11.75,1293.31,1175.66,1.35,117.64999999999986,116.29999999999987,1,1,2026-06,LATE_BULL,Low,Put,Breakeven
Account A,CRCL,P,2026-10-16,95.0,2026-03-09,2026-03-17,8,17.74,13.4,1773.34,1340.66,1.32,432.67999999999984,431.35999999999984,1,1,2026-03,EARLY_BULL,High,Put,Win
Account A,CRCL,C,2026-09-18,135.0,2026-03-31,2026-06-05,66,8.65,4.23,864.34,423.66,1.32,440.68,439.36,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,CRCL,C,2026-10-16,140.0,2026-03-04,2026-03-31,27,15.74,10.0,1573.34,1000.66,1.32,572.68,571.3599999999999,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,CRCL,C,2027-06-17,150.0,2026-04-28,2026-06-08,41,20.12,16.0,2011.3,1600.66,1.3599999999999999,410.6399999999999,409.27999999999986,1,1,2026-04,CAUTIOUS_BULL,High,Call,Win
Account A,CRCL,C,2026-12-18,155.0,2026-04-14,2026-04-28,14,14.0,11.42,1399.31,1142.66,1.35,256.64999999999986,255.29999999999987,1,1,2026-04,CAUTIOUS_BULL,High,Call,Win
Account A,CRM,C,2026-06-18,200.0,2026-05-07,2026-05-08,1,8.08,5.2,807.32,520.66,1.34,286.6600000000001,285.3200000000001,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,CRM,C,2026-07-17,200.0,2026-05-27,2026-06-08,12,6.79,4.7,678.33,470.66,1.33,207.67000000000002,206.34,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,CRM,C,2026-08-21,220.0,2026-05-01,2026-05-13,12,5.92,3.5,591.33,350.66,1.33,240.67000000000002,239.34,1,1,2026-05,CAUTIOUS_BULL,High,Call,Win
Account A,CRM,C,2026-08-21,230.0,2026-04-07,2026-04-09,2,4.46,2.44,445.33,244.66,1.33,200.67,199.33999999999997,1,1,2026-04,CAUTIOUS_BULL,High,Call,Breakeven
Account A,CRM,C,2026-08-21,240.0,2026-02-20,2026-03-24,32,8.8,4.25,879.34,425.66,1.32,453.68,452.36,1,1,2026-02,EARLY_BULL,High,Call,Win
Account A,CRM,C,2026-11-20,240.0,2026-03-18,2026-04-10,23,10.67,4.09,1066.34,409.66,1.32,656.6799999999998,655.3599999999998,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,CRM,C,2027-03-19,250.0,2026-03-18,2026-04-13,26,14.6,7.94,1459.34,794.66,1.32,664.68,663.3599999999999,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,CRM,C,2026-08-21,260.0,2026-01-16,2026-02-17,32,15.43,5.45,1542.34,545.66,1.32,996.68,995.3599999999999,1,1,2026-01,EARLY_BULL,High,Call,Win
Account A,CRM,C,2026-04-17,280.0,2026-01-14,2026-01-16,2,5.65,3.15,564.34,315.66,1.32,248.68,247.36,1,1,2026-01,EARLY_BULL,High,Call,Win
Account A,CRM,C,2026-12-18,280.0,2026-02-04,2026-03-11,35,10.18,6.1,1017.34,610.66,1.32,406.68000000000006,405.36000000000007,1,1,2026-02,EARLY_BULL,High,Call,Win
Account A,CRM,C,2027-01-15,280.0,2026-01-21,2026-03-11,49,15.9,7.0,1589.34,700.66,1.32,888.68,887.3599999999999,1,1,2026-01,EARLY_BULL,High,Call,Win
Account A,CRWD,P,2027-03-19,320.0,2026-04-08,2026-05-08,30,26.1,16.78,2609.29,1678.66,1.37,930.6299999999999,929.2599999999999,1,1,2026-04,CAUTIOUS_BULL,High,Put,Win
Account A,CRWD,P,2026-12-18,340.0,2026-04-16,2026-04-27,11,29.35,22.42,2934.28,2242.66,1.38,691.6200000000003,690.2400000000004,1,1,2026-04,CAUTIOUS_BULL,High,Put,Win
Account A,CRWD,P,2026-07-17,390.0,2026-04-30,2026-05-05,5,16.65,12.75,1664.31,1275.66,1.35,388.64999999999986,387.29999999999984,1,1,2026-04,CAUTIOUS_BULL,High,Put,Win
Account A,CRWD,P,2026-07-17,420.0,2026-05-04,2026-05-07,3,19.46,13.23,1945.3,1323.66,1.3599999999999999,621.6399999999999,620.2799999999999,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,CRWD,P,2027-06-17,420.0,2026-05-13,2026-05-20,7,46.0,36.45,4599.25,3645.66,1.4100000000000001,953.5900000000001,952.1800000000002,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,CRWD,P,2026-07-17,470.0,2026-05-08,2026-05-11,3,26.95,22.7,2694.28,2270.66,1.38,423.62000000000035,422.24000000000035,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,CRWD,C,2026-09-18,480.0,2026-03-31,2026-05-08,38,19.6,89.38,1959.34,8938.66,1.32,-6979.32,-6980.639999999999,1,1,2026-03,EARLY_BULL,High,Call,Loss
Account A,CRWD,P,2026-07-17,500.0,2026-05-18,2026-05-21,3,13.5,7.79,1349.31,779.66,1.35,569.65,568.3,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,CRWD,C,2026-07-17,520.0,2026-05-01,2026-05-08,7,15.25,48.95,1524.31,4895.66,1.35,-3371.35,-3372.7,1,1,2026-05,CAUTIOUS_BULL,High,Call,Loss
Account A,CRWD,P,2026-10-16,520.0,2026-05-15,2026-06-01,17,42.35,20.1,4234.25,2010.66,1.4100000000000001,2223.59,2222.1800000000003,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,CRWD,C,2026-09-18,550.0,2026-03-18,2026-03-30,12,19.55,10.71,1954.34,1071.66,1.32,882.6799999999998,881.3599999999998,1,1,2026-03,EARLY_BULL,High,Call,Win
Account A,CRWD,P,2026-09-18,550.0,2026-05-26,2026-05-29,3,30.61,25.42,3060.28,2542.66,1.38,517.6200000000003,516.2400000000004,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,CRWD,C,2027-01-15,550.0,2026-03-05,2026-05-08,64,37.71,79.85,3770.34,7985.66,1.32,-4215.32,-4216.639999999999,1,1,2026-03,EARLY_BULL,High,Call,Loss
Account A,CRWD,P,2027-06-17,550.0,2026-05-22,2026-05-29,7,74.79,70.0,7478.19,7000.66,1.4700000000000002,477.52999999999975,476.0599999999997,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
Account A,CRWD,C,2026-12-18,620.0,2026-05-08,2026-05-18,10,49.99,102.79,4998.24,10279.66,1.42,-5281.42,-5282.84,1,1,2026-05,CAUTIOUS_BULL,High,Call,Loss
Account A,CRWD,P,2026-06-12,650.0,2026-05-29,2026-06-01,3,16.51,10.13,1650.31,1013.66,1.35,636.65,635.3,1,1,2026-05,CAUTIOUS_BULL,High,Put,Win
